session_id,timestamp_ms,datetime_iso,event_type,note
session_20260624_181854_P001,0,2026-06-24T18:18:55.178818,SESSION_START,Start sesji
session_20260624_181854_P001,3,2026-06-24T18:18:55.181589,WALK_METRONOME_12_START,Chód + metronom 12/min
session_20260624_181854_P001,120022,2026-06-24T18:20:55.201043,WALK_METRONOME_20_START,Chód + metronom 20/min
session_20260624_181854_P001,240051,2026-06-24T18:22:55.230028,SESSION_STOP,Automatyczny koniec protokołu
