phase,channel,window_s,method,windows,valid_windows,valid_fraction,mae_valid_bpm,rmse_valid_bpm,bias_valid_bpm,penalized_mae_bpm,invalid_windows
sitting,pressure,10,Maksima,22,22,1.0,2.914824360078573,3.996077915847602,0.32099602256861215,2.914824360078573,0
sitting,temperature_left,10,Minima,22,22,1.0,3.1812921129109473,4.492814031393941,0.24050129085362765,3.1812921129109473,0
sitting,temperature_right,10,Minima,22,22,1.0,3.235099140888734,4.542926253982796,0.3085519833266533,3.235099140888734,0
sitting,tensometric,10,Maksima,22,20,0.9090909090909091,3.1642330162656487,4.331712755008594,0.14546707632323752,4.240211832968772,2
walking,pressure,10,Maksima,24,23,0.9583333333333334,4.308522542690096,5.957345844941051,2.24515289159666,4.545667436744675,1
walking,temperature_left,10,Metoda nachylenia,4,4,1.0,3.0,3.082207001484488,-0.5,3.0,0
walking,temperature_right,10,Metoda nachylenia,4,4,1.0,3.0,3.082207001484488,-0.5,3.0,0
walking,tensometric,10,Maksima,24,22,0.9166666666666666,4.149745369917408,5.605960086892785,1.7913488122633632,4.637266589090957,2
