Aktywność,$RR_{zad}$ [oddechy/min],Tor pomiarowy,Surowy,Detr.,SMA,EMA,Med.,S-G
siedzenie,6.0,Pas barometryczny,14.797790192384104,14.478364454817909,15.211593880650724,15.591479687234886,14.660392927290156,14.680658481623912
siedzenie,6.0,Pas tensometryczny,13.048948585436476,13.000075956817748,13.866775799894047,14.622901058780386,13.263218541868172,13.220070571694919
siedzenie,6.0,Urządzenie z czujnikami temperatury - lewe nozdrze,9.75279872859536,10.597755924982224,11.342123953825734,12.229800100268452,10.64933325192584,10.725791891302558
siedzenie,6.0,Urządzenie z czujnikami temperatury - prawe nozdrze,6.241223581499352,7.994716885819707,8.895188148729433,9.645407832281217,8.069781599065658,8.200251295551148
siedzenie,6.0,Urządzenie z czujnikami temperatury - usta,-8.790374488998621,-8.656618491837948,-8.697598840727967,-9.41573489910055,-8.525487090064672,-8.603320756296988
siedzenie,12.0,Pas barometryczny,11.23940816317454,11.151450896485017,11.953485636915564,11.09231296922663,11.356466096821045,11.622550342614545
siedzenie,12.0,Pas tensometryczny,10.27231083158169,10.426159197096993,11.213794828543639,10.218366323983318,10.5581408862498,10.963063697702292
siedzenie,12.0,Urządzenie z czujnikami temperatury - lewe nozdrze,9.316783042451268,10.11451174449832,11.306766845350412,10.757248613103572,10.318372058401149,10.633374578080936
siedzenie,12.0,Urządzenie z czujnikami temperatury - prawe nozdrze,6.477152635912685,9.820348203741405,11.258812359587571,10.51469481739586,9.973611082473582,10.49179628794868
siedzenie,12.0,Urządzenie z czujnikami temperatury - usta,-10.916701675279647,-6.77046540828454,-7.352868586737062,-9.390695493459202,-7.2901122227692605,-6.731448525762321
siedzenie,20.0,Pas barometryczny,11.79509117353196,11.838799093667303,12.156675195589962,9.66286355462681,11.40634898709342,12.836804875083786
siedzenie,20.0,Pas tensometryczny,10.91495383525209,10.988387437124182,11.33101441222314,8.653116372376827,10.447474346652172,12.123253044759698
siedzenie,20.0,Urządzenie z czujnikami temperatury - lewe nozdrze,11.476721390994584,12.485261078818423,13.074816407077087,11.284278926279299,11.794135189748104,13.361684369027738
siedzenie,20.0,Urządzenie z czujnikami temperatury - prawe nozdrze,8.675546679909361,11.198609902054802,11.133628898662632,8.628876283598002,10.63514601252738,11.948279197871411
siedzenie,20.0,Urządzenie z czujnikami temperatury - usta,-10.97224402339249,-10.446197771050832,-12.451937142375243,-15.650053051382882,-11.924612300342222,-10.627988873103885
