session,phase,event_type,target_bpm,channel,device,method,p_reference,p_noise,snr_ref_db
session_20260623_constant_sitting,sitting,METRONOME_6_START,6.0,temperature_mouth,Urządzenie z czujnikami temperatury - usta,detrend,10.299996215718254,75.59601705453531,-8.656618491837948
session_20260623_constant_sitting,sitting,METRONOME_6_START,6.0,temperature_mouth,Urządzenie z czujnikami temperatury - usta,SMA,9.939488357717966,73.64171829622308,-8.697598840727967
session_20260623_constant_sitting,sitting,METRONOME_6_START,6.0,temperature_mouth,Urządzenie z czujnikami temperatury - usta,EMA,8.475563598259113,74.08701154540687,-9.41573489910055
session_20260623_constant_sitting,sitting,METRONOME_6_START,6.0,temperature_mouth,Urządzenie z czujnikami temperatury - usta,median,10.35797081139961,73.76042184810898,-8.525487090064672
session_20260623_constant_sitting,sitting,METRONOME_6_START,6.0,temperature_mouth,Urządzenie z czujnikami temperatury - usta,S-G,10.295676158874278,74.64263278798634,-8.603320756296988
session_20260623_constant_sitting,sitting,METRONOME_12_START,12.0,temperature_mouth,Urządzenie z czujnikami temperatury - usta,raw,9.999891435546694,123.49957202852907,-10.916701675279647
session_20260623_constant_sitting,sitting,METRONOME_12_START,12.0,temperature_mouth,Urządzenie z czujnikami temperatury - usta,detrend,10.000362339984777,47.54033927416786,-6.77046540828454
session_20260623_constant_sitting,sitting,METRONOME_12_START,12.0,temperature_mouth,Urządzenie z czujnikami temperatury - usta,SMA,8.469828120272885,46.04277130904105,-7.352868586737062
session_20260623_constant_sitting,sitting,METRONOME_12_START,12.0,temperature_mouth,Urządzenie z czujnikami temperatury - usta,EMA,5.168245967295407,44.91720495689352,-9.390695493459202
session_20260623_constant_sitting,sitting,METRONOME_12_START,12.0,temperature_mouth,Urządzenie z czujnikami temperatury - usta,median,8.865724622149711,47.503483675734266,-7.2901122227692605
session_20260623_constant_sitting,sitting,METRONOME_12_START,12.0,temperature_mouth,Urządzenie z czujnikami temperatury - usta,S-G,9.930831341147389,46.78756664630223,-6.731448525762321
session_20260623_constant_sitting,sitting,METRONOME_20_START,20.0,temperature_mouth,Urządzenie z czujnikami temperatury - usta,raw,10.735372164036809,134.28933001773362,-10.97224402339249
session_20260623_constant_sitting,sitting,METRONOME_20_START,20.0,temperature_mouth,Urządzenie z czujnikami temperatury - usta,detrend,10.735267461901877,118.96868087780615,-10.446197771050832
session_20260623_constant_sitting,sitting,METRONOME_20_START,20.0,temperature_mouth,Urządzenie z czujnikami temperatury - usta,SMA,6.599477389312296,116.065530157518,-12.451937142375243
session_20260623_constant_sitting,sitting,METRONOME_20_START,20.0,temperature_mouth,Urządzenie z czujnikami temperatury - usta,EMA,2.974900181370311,109.26415294822736,-15.650053051382882
session_20260623_constant_sitting,sitting,METRONOME_20_START,20.0,temperature_mouth,Urządzenie z czujnikami temperatury - usta,median,7.42694716777871,115.68353858581987,-11.924612300342222
session_20260623_constant_sitting,sitting,METRONOME_20_START,20.0,temperature_mouth,Urządzenie z czujnikami temperatury - usta,S-G,10.183095814588869,117.67351258550055,-10.627988873103885
session_20260623_constant_sitting,sitting,METRONOME_6_START,6.0,temperature_right,Urządzenie z czujnikami temperatury - prawe nozdrze,raw,4279.0766442680215,1016.7816672867582,6.241223581499352
session_20260623_constant_sitting,sitting,METRONOME_6_START,6.0,temperature_right,Urządzenie z czujnikami temperatury - prawe nozdrze,detrend,4279.19533000688,679.0322830987833,7.994716885819707
session_20260623_constant_sitting,sitting,METRONOME_6_START,6.0,temperature_right,Urządzenie z czujnikami temperatury - prawe nozdrze,SMA,4105.768135118638,529.5117540283117,8.895188148729433
session_20260623_constant_sitting,sitting,METRONOME_6_START,6.0,temperature_right,Urządzenie z czujnikami temperatury - prawe nozdrze,EMA,3490.942509677368,378.79297274126003,9.645407832281217
session_20260623_constant_sitting,sitting,METRONOME_6_START,6.0,temperature_right,Urządzenie z czujnikami temperatury - prawe nozdrze,median,4250.608309194772,662.9380201496137,8.069781599065658
session_20260623_constant_sitting,sitting,METRONOME_6_START,6.0,temperature_right,Urządzenie z czujnikami temperatury - prawe nozdrze,S-G,4277.2423328523355,647.3493658970243,8.200251295551148
session_20260623_constant_sitting,sitting,METRONOME_12_START,12.0,temperature_right,Urządzenie z czujnikami temperatury - prawe nozdrze,raw,2797.7108774208887,629.6331244174038,6.477152635912685
session_20260623_constant_sitting,sitting,METRONOME_12_START,12.0,temperature_right,Urządzenie z czujnikami temperatury - prawe nozdrze,detrend,2797.6899461102876,291.58471999820955,9.820348203741405
session_20260623_constant_sitting,sitting,METRONOME_12_START,12.0,temperature_right,Urządzenie z czujnikami temperatury - prawe nozdrze,SMA,2366.6778239914397,177.11604483980332,11.258812359587571
session_20260623_constant_sitting,sitting,METRONOME_12_START,12.0,temperature_right,Urządzenie z czujnikami temperatury - prawe nozdrze,EMA,1450.3873295490102,128.82926095273754,10.51469481739586
session_20260623_constant_sitting,sitting,METRONOME_12_START,12.0,temperature_right,Urządzenie z czujnikami temperatury - prawe nozdrze,median,2730.1073552824632,274.67467338848724,9.973611082473582
session_20260623_constant_sitting,sitting,METRONOME_12_START,12.0,temperature_right,Urządzenie z czujnikami temperatury - prawe nozdrze,S-G,2778.0212235116624,248.05953801716805,10.49179628794868
session_20260623_constant_sitting,sitting,METRONOME_20_START,20.0,temperature_right,Urządzenie z czujnikami temperatury - prawe nozdrze,raw,1891.4669460628993,256.5925768949132,8.675546679909361
session_20260623_constant_sitting,sitting,METRONOME_20_START,20.0,temperature_right,Urządzenie z czujnikami temperatury - prawe nozdrze,detrend,1891.467661720419,143.52842870515278,11.198609902054802
session_20260623_constant_sitting,sitting,METRONOME_20_START,20.0,temperature_right,Urządzenie z czujnikami temperatury - prawe nozdrze,SMA,1164.3778402933035,89.68731895957497,11.133628898662632
session_20260623_constant_sitting,sitting,METRONOME_20_START,20.0,temperature_right,Urządzenie z czujnikami temperatury - prawe nozdrze,EMA,525.1808571426559,72.01471715609041,8.628876283598002
