session,phase,event_type,target_bpm,channel,device,method,p_reference,p_noise,snr_ref_db
session_20260821_walk_run_temp_tenso,walking,WALK_RUN_WALKING_START,20.0,temperature_mouth,Urządzenie z czujnikami temperatury - usta,detrend,0.6677957391522438,17.480423068828607,-14.179082956840045
session_20260821_walk_run_temp_tenso,walking,WALK_RUN_WALKING_START,20.0,temperature_mouth,Urządzenie z czujnikami temperatury - usta,SMA,0.4137238783485033,16.64722113159607,-16.046311612633943
session_20260821_walk_run_temp_tenso,walking,WALK_RUN_WALKING_START,20.0,temperature_mouth,Urządzenie z czujnikami temperatury - usta,EMA,0.18788754146770262,17.11422531308095,-19.594592616272013
session_20260821_walk_run_temp_tenso,walking,WALK_RUN_WALKING_START,20.0,temperature_mouth,Urządzenie z czujnikami temperatury - usta,median,0.4370632615375032,16.828305949658166,-15.854960968775773
session_20260821_walk_run_temp_tenso,walking,WALK_RUN_WALKING_START,20.0,temperature_mouth,Urządzenie z czujnikami temperatury - usta,S-G,0.6343032093084483,17.130959055806656,-14.314847683408052
session_20260821_walk_run_temp_tenso,running,WALK_RUN_RUNNING_START,20.0,temperature_mouth,Urządzenie z czujnikami temperatury - usta,raw,2.414585101847555,156.28366993588267,-18.11071084327083
session_20260821_walk_run_temp_tenso,running,WALK_RUN_RUNNING_START,20.0,temperature_mouth,Urządzenie z czujnikami temperatury - usta,detrend,2.4136855714716527,6.3552738583671555,-4.20453575383565
session_20260821_walk_run_temp_tenso,running,WALK_RUN_RUNNING_START,20.0,temperature_mouth,Urządzenie z czujnikami temperatury - usta,SMA,1.5313294368523853,5.534948580606662,-5.580449595849356
session_20260821_walk_run_temp_tenso,running,WALK_RUN_RUNNING_START,20.0,temperature_mouth,Urządzenie z czujnikami temperatury - usta,EMA,0.711455174898012,4.938559784213884,-8.414527728917907
session_20260821_walk_run_temp_tenso,running,WALK_RUN_RUNNING_START,20.0,temperature_mouth,Urządzenie z czujnikami temperatury - usta,median,1.6751874060690222,5.805204269708076,-5.397541066576334
session_20260821_walk_run_temp_tenso,running,WALK_RUN_RUNNING_START,20.0,temperature_mouth,Urządzenie z czujnikami temperatury - usta,S-G,2.300843013266455,5.951103026166917,-4.127104811584809
session_20260821_walk_run_temp_tenso,walking,WALK_RUN_WALKING_START,20.0,temperature_right,Urządzenie z czujnikami temperatury - prawe nozdrze,raw,1093.8263575922504,301.26319008810924,5.600023136790741
session_20260821_walk_run_temp_tenso,walking,WALK_RUN_WALKING_START,20.0,temperature_right,Urządzenie z czujnikami temperatury - prawe nozdrze,detrend,1093.836095222295,168.65254963773313,8.119593393433215
session_20260821_walk_run_temp_tenso,walking,WALK_RUN_WALKING_START,20.0,temperature_right,Urządzenie z czujnikami temperatury - prawe nozdrze,SMA,670.3773600497132,93.30515745087756,8.564136888225107
session_20260821_walk_run_temp_tenso,walking,WALK_RUN_WALKING_START,20.0,temperature_right,Urządzenie z czujnikami temperatury - prawe nozdrze,EMA,302.3078317855179,61.938893348004214,6.884859568198642
session_20260821_walk_run_temp_tenso,walking,WALK_RUN_WALKING_START,20.0,temperature_right,Urządzenie z czujnikami temperatury - prawe nozdrze,median,885.28186641821,137.01088076408513,8.103265103186587
session_20260821_walk_run_temp_tenso,walking,WALK_RUN_WALKING_START,20.0,temperature_right,Urządzenie z czujnikami temperatury - prawe nozdrze,S-G,1036.9299780496808,132.4158924269536,8.93809318447376
session_20260821_walk_run_temp_tenso,running,WALK_RUN_RUNNING_START,20.0,temperature_right,Urządzenie z czujnikami temperatury - prawe nozdrze,raw,1940.6444782489068,818.3871612786799,3.7498717327419593
session_20260821_walk_run_temp_tenso,running,WALK_RUN_RUNNING_START,20.0,temperature_right,Urządzenie z czujnikami temperatury - prawe nozdrze,detrend,1940.6402864804795,488.0191128989013,5.995082116703142
session_20260821_walk_run_temp_tenso,running,WALK_RUN_RUNNING_START,20.0,temperature_right,Urządzenie z czujnikami temperatury - prawe nozdrze,SMA,1196.7921657128459,258.6051982189754,6.653814872283499
session_20260821_walk_run_temp_tenso,running,WALK_RUN_RUNNING_START,20.0,temperature_right,Urządzenie z czujnikami temperatury - prawe nozdrze,EMA,540.853922800008,190.2489469641409,4.537577223709416
session_20260821_walk_run_temp_tenso,running,WALK_RUN_RUNNING_START,20.0,temperature_right,Urządzenie z czujnikami temperatury - prawe nozdrze,median,1574.7038227426656,381.57046925559246,6.1562412564217155
session_20260821_walk_run_temp_tenso,running,WALK_RUN_RUNNING_START,20.0,temperature_right,Urządzenie z czujnikami temperatury - prawe nozdrze,S-G,1841.5888793862846,384.06895152905525,6.80783483926797
session_20260821_walk_run_temp_tenso,walking,WALK_RUN_WALKING_START,20.0,temperature_left,Urządzenie z czujnikami temperatury - lewe nozdrze,raw,18389.61372615007,2848.8397108584313,8.099045925043843
session_20260821_walk_run_temp_tenso,walking,WALK_RUN_WALKING_START,20.0,temperature_left,Urządzenie z czujnikami temperatury - lewe nozdrze,detrend,18389.653549608676,2430.51343061708,8.78875522202366
session_20260821_walk_run_temp_tenso,walking,WALK_RUN_WALKING_START,20.0,temperature_left,Urządzenie z czujnikami temperatury - lewe nozdrze,SMA,11263.711867077836,1285.4523215096156,9.426255594748556
session_20260821_walk_run_temp_tenso,walking,WALK_RUN_WALKING_START,20.0,temperature_left,Urządzenie z czujnikami temperatury - lewe nozdrze,EMA,5088.483185544694,790.8991199038226,8.084672514995452
session_20260821_walk_run_temp_tenso,walking,WALK_RUN_WALKING_START,20.0,temperature_left,Urządzenie z czujnikami temperatury - lewe nozdrze,median,15830.084377203973,2167.128808538463,8.635985043072548
session_20260821_walk_run_temp_tenso,walking,WALK_RUN_WALKING_START,20.0,temperature_left,Urządzenie z czujnikami temperatury - lewe nozdrze,S-G,17430.76870006245,1887.4654009272729,9.654375406629502
session_20260821_walk_run_temp_tenso,running,WALK_RUN_RUNNING_START,20.0,temperature_left,Urządzenie z czujnikami temperatury - lewe nozdrze,raw,14669.948576757188,3468.4788411831955,6.2628954198353135
session_20260821_walk_run_temp_tenso,running,WALK_RUN_RUNNING_START,20.0,temperature_left,Urządzenie z czujnikami temperatury - lewe nozdrze,detrend,14669.94228660844,3171.2655830310487,6.651957909973959
session_20260821_walk_run_temp_tenso,running,WALK_RUN_RUNNING_START,20.0,temperature_left,Urządzenie z czujnikami temperatury - lewe nozdrze,SMA,9055.647111562761,1416.6943994574658,8.05643313169568
session_20260821_walk_run_temp_tenso,running,WALK_RUN_RUNNING_START,20.0,temperature_left,Urządzenie z czujnikami temperatury - lewe nozdrze,EMA,4097.5923614978465,913.1796712123157,6.519725166767412
session_20260821_walk_run_temp_tenso,running,WALK_RUN_RUNNING_START,20.0,temperature_left,Urządzenie z czujnikami temperatury - lewe nozdrze,median,12398.619220362603,2488.637969380082,6.974115994808594
session_20260821_walk_run_temp_tenso,running,WALK_RUN_RUNNING_START,20.0,temperature_left,Urządzenie z czujnikami temperatury - lewe nozdrze,S-G,13923.396651661205,2337.73742874929,7.749494653128897
session_20260821_walk_run_pressure,walking,WALK_RUN_WALKING_START,20.0,pressure,Pas barometryczny,raw,33727.72742118771,27701.312813486828,0.8548672782991585
session_20260821_walk_run_pressure,walking,WALK_RUN_WALKING_START,20.0,pressure,Pas barometryczny,detrend,33727.72237149711,27956.272655556953,0.8150774686621859
session_20260821_walk_run_pressure,walking,WALK_RUN_WALKING_START,20.0,pressure,Pas barometryczny,SMA,20692.06352156627,8707.177622916022,3.7592639897638196
session_20260821_walk_run_pressure,walking,WALK_RUN_WALKING_START,20.0,pressure,Pas barometryczny,EMA,9282.904790156646,7060.847965962723,1.1882703577206697
session_20260821_walk_run_pressure,walking,WALK_RUN_WALKING_START,20.0,pressure,Pas barometryczny,median,18120.37836934082,12332.28232621701,1.6712380329662566
session_20260821_walk_run_pressure,walking,WALK_RUN_WALKING_START,20.0,pressure,Pas barometryczny,S-G,31979.21046681659,14801.38143292064,3.3456548668991157
session_20260821_walk_run_pressure,running,WALK_RUN_RUNNING_START,20.0,pressure,Pas barometryczny,raw,97021.28057091469,53242.97736970885,2.6060466911073377
session_20260821_walk_run_pressure,running,WALK_RUN_RUNNING_START,20.0,pressure,Pas barometryczny,detrend,97021.34226928328,54377.215527715154,2.5145031362447297
session_20260821_walk_run_pressure,running,WALK_RUN_RUNNING_START,20.0,pressure,Pas barometryczny,SMA,59002.11512509009,27111.561750932437,3.377130449717047
session_20260821_walk_run_pressure,running,WALK_RUN_RUNNING_START,20.0,pressure,Pas barometryczny,EMA,26577.643182352476,21036.705034603827,1.0153874896662005
session_20260821_walk_run_pressure,running,WALK_RUN_RUNNING_START,20.0,pressure,Pas barometryczny,median,64589.83932734788,32960.493237277085,2.92170502127316
session_20260821_walk_run_pressure,running,WALK_RUN_RUNNING_START,20.0,pressure,Pas barometryczny,S-G,91836.3998222967,34178.29203780033,4.292644938366847
