session,phase,channel,device,window_s,window_start_s,window_end_s,target_bpm,method,estimated_bpm,error_bpm,absolute_error_bpm,valid,event_count,contains_target_transition
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,40.0,45.0,10.0,Maksima,,,,False,1,True
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,40.0,45.0,10.0,Minima,,,,False,0,True
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,40.0,45.0,10.0,Przejścia przez zero,,,,False,1,True
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,40.0,45.0,10.0,Autokorelacja,13.714285714285714,3.7142857142857135,3.7142857142857135,True,1,True
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,40.0,45.0,10.0,FFT,3.6660374691119357,-6.333962530888064,6.333962530888064,True,1,True
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,45.0,50.0,10.0,Maksima,,,,False,1,False
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,45.0,50.0,10.0,Minima,,,,False,1,False
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,45.0,50.0,10.0,Przejścia przez zero,,,,False,1,False
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,45.0,50.0,10.0,Autokorelacja,17.142857142857142,7.142857142857142,7.142857142857142,True,1,False
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,45.0,50.0,10.0,FFT,14.265925662717795,4.265925662717795,4.265925662717795,True,1,False
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,50.0,55.0,15.0,Maksima,,,,False,1,True
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,50.0,55.0,15.0,Minima,,,,False,1,True
session_20260625_variable_sit_walk,sitting,tensometric,Pas tensometryczny,5,50.0,55.0,15.0,Przejścia przez zero,,,,False,1,True
